source,force,target
MQRF_645,0.508982183956018,MQRF_34
MQRF_651,0.413067696847541,MQRF_34
MQRF_652,0.568903229403872,MQRF_34
MQRF_653,0.48865065844705,MQRF_34
MQRF_655,0.444885564537421,MQRF_34
MQRF_666,0.411428402875049,MQRF_34
MQRF_674,0.408090021798428,MQRF_34
MQRF_675,0.489319370239369,MQRF_34
MQRF_677,0.436014056335001,MQRF_34
MQRF_682,0.423282738399784,MQRF_34
MQRF_27,0.456475101468589,MQRF_35
MQRF_28,0.442699330261674,MQRF_35
MQRF_31,0.429718467886331,MQRF_35
MQRF_32,0.437043980008791,MQRF_35
MQRF_33,0.483364516187567,MQRF_35
MQRF_34,0.615437344418427,MQRF_35
MQRF_35,1.0,MQRF_35
MQRF_37,0.479651882113653,MQRF_35
MQRF_39,0.462877369472874,MQRF_35
MQRF_50,0.459462329465066,MQRF_35
MQRF_60,0.43731649294434,MQRF_35
MQRF_88,0.411978701954072,MQRF_35
MQRF_109,0.458170145129724,MQRF_35
MQRF_180,0.418752876590724,MQRF_35
MQRF_224,0.436770003817997,MQRF_35
MQRF_228,0.583403408430394,MQRF_35
MQRF_230,0.47004093490525,MQRF_35
MQRF_232,0.408961530890037,MQRF_35
MQRF_234,0.424731861263835,MQRF_35
MQRF_268,0.401031908379522,MQRF_35
MQRF_284,0.4483231452149,MQRF_35
MQRF_285,0.417123670997303,MQRF_35
MQRF_293,0.414430887981499,MQRF_35
MQRF_355,0.402686679685899,MQRF_35
MQRF_466,0.434640511038754,MQRF_35
MQRF_472,0.402518002727707,MQRF_35
MQRF_481,0.428705486107723,MQRF_35
MQRF_489,0.534383052822233,MQRF_35
MQRF_495,0.423992737723072,MQRF_35
MQRF_537,0.406411217647358,MQRF_35
MQRF_538,0.448831879678481,MQRF_35
MQRF_561,0.478529124982925,MQRF_35
MQRF_569,0.405933910105358,MQRF_35
MQRF_581,0.433637852613634,MQRF_35
MQRF_597,0.401524909432108,MQRF_35
MQRF_620,0.507810347898676,MQRF_35
MQRF_641,0.410538816749238,MQRF_35
MQRF_652,0.459626924915004,MQRF_35
MQRF_653,0.427073857832183,MQRF_35
MQRF_657,0.404251172298826,MQRF_35
MQRF_27,0.474040388387702,MQRF_36
MQRF_32,0.433236542534958,MQRF_36
MQRF_33,0.403835800748336,MQRF_36
MQRF_34,0.431314363224247,MQRF_36
MQRF_36,1.0,MQRF_36
MQRF_39,0.449104720439201,MQRF_36
MQRF_112,0.405178992703885,MQRF_36
MQRF_177,0.409297903783489,MQRF_36
MQRF_187,0.416955438953878,MQRF_36
MQRF_229,0.432062943800837,MQRF_36
MQRF_260,0.414738233912608,MQRF_36
MQRF_266,0.404036267088596,MQRF_36
MQRF_268,0.420099933848669,MQRF_36
MQRF_376,0.453483912456147,MQRF_36
MQRF_382,0.464263737426095,MQRF_36
MQRF_488,0.433443270687661,MQRF_36
MQRF_489,0.520088115954255,MQRF_36
MQRF_562,0.400867556899458,MQRF_36
MQRF_620,0.406004828312668,MQRF_36
MQRF_652,0.465831082187007,MQRF_36
MQRF_655,0.466747502249573,MQRF_36
MQRF_677,0.421513439286386,MQRF_36
MQRF_33,0.44103861235098,MQRF_37
MQRF_34,0.423620664229477,MQRF_37
MQRF_35,0.479651882113653,MQRF_37
MQRF_37,1.0,MQRF_37
MQRF_40,0.416087261329492,MQRF_37
MQRF_228,0.412963080812805,MQRF_37
MQRF_233,0.41673802439245,MQRF_37
MQRF_264,0.421795643792024,MQRF_37
MQRF_484,0.407692913954059,MQRF_37
MQRF_489,0.41276667077597,MQRF_37
MQRF_620,0.409596609774506,MQRF_37
MQRF_38,1.0,MQRF_38
MQRF_31,0.476589372520632,MQRF_39
MQRF_32,0.543525154941903,MQRF_39
MQRF_33,0.540541509349052,MQRF_39
MQRF_34,0.434601272659627,MQRF_39
MQRF_35,0.462877369472874,MQRF_39
MQRF_36,0.449104720439201,MQRF_39
MQRF_39,1.0,MQRF_39
MQRF_50,0.408449539271324,MQRF_39
MQRF_112,0.400904694295982,MQRF_39
MQRF_195,0.423217436431811,MQRF_39
MQRF_228,0.430906885567604,MQRF_39
MQRF_235,0.414641554142402,MQRF_39
